term,estimate,penalty,abs_estimate,direction
n_aggregate_types,-1.0779332567678201,0.010196093601453774,1.0779332567678201,scade log-odds FALSE
architecture_distributed,0.6327239466628054,0.010196093601453774,0.6327239466628054,crește log-odds FALSE
has_window_yes,-0.5677331773401827,0.010196093601453774,0.5677331773401827,scade log-odds FALSE
has_subqueries_yes,0.47899635584876404,0.010196093601453774,0.47899635584876404,crește log-odds FALSE
has_except_yes,-0.272032874218405,0.010196093601453774,0.272032874218405,scade log-odds FALSE
has_rollup_yes,0.22174989677447865,0.010196093601453774,0.22174989677447865,crește log-odds FALSE
has_left_join_yes,-0.14564877385587635,0.010196093601453774,0.14564877385587635,scade log-odds FALSE
has_intersect_yes,-0.14010857499011442,0.010196093601453774,0.14010857499011442,scade log-odds FALSE
has_grouping_yes,0.13556887626249958,0.010196093601453774,0.13556887626249958,crește log-odds FALSE
has_cube_yes,0.08654617747659474,0.010196093601453774,0.08654617747659474,crește log-odds FALSE
has_union_yes,-0.08233921123566292,0.010196093601453774,0.08233921123566292,scade log-odds FALSE
n_where_predicates,0.08054136278206629,0.010196093601453774,0.08054136278206629,crește log-odds FALSE
has_cte_yes,-0.08012759682959342,0.010196093601453774,0.08012759682959342,scade log-odds FALSE
has_limit_yes,-0.0752633088326948,0.010196093601453774,0.0752633088326948,scade log-odds FALSE
has_group_by_yes,-0.06178580572518928,0.010196093601453774,0.06178580572518928,scade log-odds FALSE
strategy_D2,0.0609720131737323,0.010196093601453774,0.0609720131737323,crește log-odds FALSE
n_right_joins,0.053576579994709675,0.010196093601453774,0.053576579994709675,crește log-odds FALSE
n_ctes,-0.05253745830094223,0.010196093601453774,0.05253745830094223,scade log-odds FALSE
n_aggregate_calls,-0.021424354847976952,0.010196093601453774,0.021424354847976952,scade log-odds FALSE
n_full_joins,-0.02123551829092882,0.010196093601453774,0.02123551829092882,scade log-odds FALSE
has_right_join_yes,0.00586342636039149,0.010196093601453774,0.00586342636039149,crește log-odds FALSE
has_full_join_yes,-0.00275892456483952,0.010196093601453774,0.00275892456483952,scade log-odds FALSE
n_tables,0,0.010196093601453774,0,scade log-odds FALSE
n_joins,0,0.010196093601453774,0,scade log-odds FALSE
n_inner_joins,0,0.010196093601453774,0,scade log-odds FALSE
n_left_joins,0,0.010196093601453774,0,scade log-odds FALSE
n_cross_joins,0,0.010196093601453774,0,scade log-odds FALSE
n_subqueries,0,0.010196093601453774,0,scade log-odds FALSE
n_having_predicates,0,0.010196093601453774,0,scade log-odds FALSE
sf_X50,0,0.010196093601453774,0,scade log-odds FALSE
sf_X100,0,0.010196093601453774,0,scade log-odds FALSE
workers_X2,0,0.010196093601453774,0,scade log-odds FALSE
workers_X5,0,0.010196093601453774,0,scade log-odds FALSE
strategy_D1,0,0.010196093601453774,0,scade log-odds FALSE
has_order_by_yes,0,0.010196093601453774,0,scade log-odds FALSE
has_distinct_yes,0,0.010196093601453774,0,scade log-odds FALSE
has_having_yes,0,0.010196093601453774,0,scade log-odds FALSE
has_case_yes,0,0.010196093601453774,0,scade log-odds FALSE
has_aggregates_yes,0,0.010196093601453774,0,scade log-odds FALSE
has_cross_join_yes,0,0.010196093601453774,0,scade log-odds FALSE
